0  -155.992140                                                                   
10  -155.991795                                                                   
20  -155.990777                                                                   
30 -155.989142                                                                   
40  -155.987006                                                                   
50  -155.984591                                                                   
60  -155.982283                                                                   
70  -155.980638                                                                   
80  -155.980090                                                                   
90   -155.980576                                                                  
100   -155.981715                                                                  
110  -155.983129                                                                  
120   -155.984511                                                                  
130   -155.985618                                                                  
140   -155.986288                                                                  
150   -155.986486                                                                  
160   -155.986335                                                                  
170   -155.986074                                                                  
180   -155.985951                                                                  
