
    # RESULTS OF JOYCE SCAN
#  37  CB=CA-CA=CB        0.000  180.000
#  first  row =CB=CA-CA=CB    
       0.000       11.5991
      10.000       12.2229
      20.000       14.0111
      30.000       16.7243
      40.000       19.9968
      50.000       23.3815
      60.000       26.4057
      70.000       28.6300
      80.000       29.7033
      90.000       29.4081
     100.000       27.6891
     110.000       24.6628
     120.000       20.6062
     130.000       15.9257
     140.000       11.1113
     150.000        6.6791
     160.000        3.1114
     170.000        0.8000
     180.000        0.0000
