#  coordinate   DE (kj/mol)
     -0.000         -0.0011
     18.000          3.1075
     36.000         11.5721
     54.000         22.5283
     72.000         30.5597
     90.000         30.5964
    108.000         24.7284
    126.000         18.4272
    144.000         15.1086
    162.000         15.2977
   -180.000         16.2481
